fire_intesity,fire_detection,timestamp
1015,0,2024-12-18 00:11:14
1014,0,2024-12-18 00:11:14
1017,0,2024-12-18 00:11:14
1017,0,2024-12-18 00:11:14
1016,0,2024-12-18 00:11:14
1013,0,2024-12-18 00:11:14
1010,0,2024-12-18 00:11:14
1020,0,2024-12-18 00:11:14
1016,0,2024-12-18 00:11:14
1015,0,2024-12-18 00:11:14
1015,0,2024-12-18 00:11:15
1015,0,2024-12-18 00:11:15
1016,0,2024-12-18 00:11:15
1016,0,2024-12-18 00:11:15
1015,0,2024-12-18 00:11:15
1017,0,2024-12-18 00:11:15
1016,0,2024-12-18 00:11:15
1013,0,2024-12-18 00:11:15
1013,0,2024-12-18 00:11:15
1015,0,2024-12-18 00:11:15
1014,0,2024-12-18 00:11:16
1015,0,2024-12-18 00:11:16
1015,0,2024-12-18 00:11:16
1015,0,2024-12-18 00:11:16
1017,0,2024-12-18 00:11:16
1018,0,2024-12-18 00:11:16
1017,0,2024-12-18 00:11:16
1016,0,2024-12-18 00:11:16
1015,0,2024-12-18 00:11:16
1016,0,2024-12-18 00:11:16
1015,0,2024-12-18 00:11:17
1015,0,2024-12-18 00:11:17
1015,0,2024-12-18 00:11:17
1017,0,2024-12-18 00:11:17
1018,0,2024-12-18 00:11:17
1014,0,2024-12-18 00:11:17
1013,0,2024-12-18 00:11:17
1014,0,2024-12-18 00:11:17
1014,0,2024-12-18 00:11:17
1015,0,2024-12-18 00:11:17
1016,0,2024-12-18 00:11:18
1016,0,2024-12-18 00:11:18
1016,0,2024-12-18 00:11:18
1016,0,2024-12-18 00:11:18
1012,0,2024-12-18 00:11:18
1021,0,2024-12-18 00:11:18
1012,0,2024-12-18 00:11:18
1017,0,2024-12-18 00:11:18
1015,0,2024-12-18 00:11:18
1016,0,2024-12-18 00:11:18
1015,0,2024-12-18 00:11:19
1016,0,2024-12-18 00:11:19
1014,0,2024-12-18 00:11:19
1015,0,2024-12-18 00:11:19
1017,0,2024-12-18 00:11:19
1012,0,2024-12-18 00:11:19
1015,0,2024-12-18 00:11:19
1017,0,2024-12-18 00:11:19
1017,0,2024-12-18 00:11:19
1017,0,2024-12-18 00:11:19
1014,0,2024-12-18 00:11:20
1017,0,2024-12-18 00:11:20
1016,0,2024-12-18 00:11:20
1014,0,2024-12-18 00:11:20
1016,0,2024-12-18 00:11:20
1019,0,2024-12-18 00:11:20
1018,0,2024-12-18 00:11:20
1016,0,2024-12-18 00:11:20
1015,0,2024-12-18 00:11:20
1015,0,2024-12-18 00:11:20
1016,0,2024-12-18 00:11:21
1014,0,2024-12-18 00:11:21
1015,0,2024-12-18 00:11:21
1013,0,2024-12-18 00:11:21
1011,0,2024-12-18 00:11:21
1015,0,2024-12-18 00:11:21
1014,0,2024-12-18 00:11:21
1015,0,2024-12-18 00:11:21
1016,0,2024-12-18 00:11:21
1016,0,2024-12-18 00:11:21
1016,0,2024-12-18 00:11:22
1015,0,2024-12-18 00:11:22
1015,0,2024-12-18 00:11:22
1016,0,2024-12-18 00:11:22
1012,0,2024-12-18 00:11:22
1015,0,2024-12-18 00:11:22
1015,0,2024-12-18 00:11:22
1015,0,2024-12-18 00:11:22
1015,0,2024-12-18 00:11:22
1015,0,2024-12-18 00:11:22
1017,0,2024-12-18 00:11:23
1016,0,2024-12-18 00:11:23
1015,0,2024-12-18 00:11:23
1012,0,2024-12-18 00:11:23
1016,0,2024-12-18 00:11:23
1016,0,2024-12-18 00:11:23
1013,0,2024-12-18 00:11:23
1016,0,2024-12-18 00:11:23
1015,0,2024-12-18 00:11:23
1015,0,2024-12-18 00:11:23
1016,0,2024-12-18 00:11:24
1017,0,2024-12-18 00:11:24
1017,0,2024-12-18 00:11:24
1014,0,2024-12-18 00:11:24
1016,0,2024-12-18 00:11:24
1011,0,2024-12-18 00:11:24
